datetime,high,low,average,volume
2010-11-12 00:00:00,,,0.26,40720.39
2010-11-13 00:00:00,,,0.29,21915.57
2010-11-14 00:00:00,,,0.28,16844.33
2010-11-15 00:00:00,,,0.27,8507.74
2010-11-16 00:00:00,,,0.25,33931.01
2010-11-17 00:00:00,,,0.26,32871.6
2010-11-18 00:00:00,,,0.27,37446.67
2010-11-19 00:00:00,,,0.27,2157.56
2010-11-20 00:00:00,,,0.28,14652.69
2010-11-21 00:00:00,,,0.28,765
2010-11-22 00:00:00,,,0.28,28205.85
2010-11-23 00:00:00,,,0.28,4856.92
2010-11-24 00:00:00,,,0.28,2514.91
2010-11-25 00:00:00,,,0.28,1679.6
2010-11-26 00:00:00,,,0.28,33531.88
2010-11-27 00:00:00,,,0.28,1825.39
2010-11-28 00:00:00,,,0.28,20802.13
2010-11-29 00:00:00,,,0.25,35055.4
2010-11-30 00:00:00,,,0.21,21476.25
2010-12-01 00:00:00,,,0.21,8157.89
2010-12-02 00:00:00,,,0.24,20312.23
2010-12-03 00:00:00,,,0.25,2570.34
2010-12-04 00:00:00,,,0.23,28560.72
2010-12-05 00:00:00,,,0.21,5740.18
2010-12-06 00:00:00,,,0.2,4319.26
2010-12-07 00:00:00,,,0.22,24592.92
2010-12-08 00:00:00,,,0.23,3430.41
2010-12-09 00:00:00,,,0.21,21336.33
2010-12-10 00:00:00,,,0.19,1684.25
2010-12-11 00:00:00,,,0.22,5788.69
2010-12-12 00:00:00,,,0.21,1963.56
2010-12-13 00:00:00,,,0.22,6415.59
2010-12-14 00:00:00,,,0.23,10388.1
2010-12-15 00:00:00,,,0.24,3684.68
2010-12-16 00:00:00,,,0.25,14355.33
2010-12-17 00:00:00,,,0.25,525.51
2010-12-18 00:00:00,,,0.25,169.11
2010-12-19 00:00:00,,,0.24,2000.76
2010-12-20 00:00:00,,,0.26,10682.71
2010-12-21 00:00:00,,,0.25,9225.79
2010-12-22 00:00:00,,,0.25,3800.46
2010-12-23 00:00:00,,,0.25,8650.15
2010-12-24 00:00:00,,,0.25,5033.25
2010-12-25 00:00:00,,,0.25,703
2010-12-26 00:00:00,,,0.25,16584.97
2010-12-27 00:00:00,,,0.26,4935.49
2010-12-28 00:00:00,,,0.27,15438.71
2010-12-29 00:00:00,,,0.29,18609.14
2010-12-30 00:00:00,,,0.3,2539.87
2010-12-31 00:00:00,,,0.29,1453.72
2011-01-01 00:00:00,,,0.3,2821.24
2011-01-02 00:00:00,,,0.3,5352.11
2011-01-03 00:00:00,,,0.3,1425.19
2011-01-04 00:00:00,,,0.29,1879
2011-01-05 00:00:00,,,0.3,357.16
2011-01-06 00:00:00,,,0.3,3456.49
2011-01-07 00:00:00,,,0.31,42601.12
2011-01-08 00:00:00,,,0.31,1629.44
2011-01-09 00:00:00,,,0.32,1691.37
2011-01-10 00:00:00,,,0.32,10355.83
2011-01-11 00:00:00,,,0.32,4857.8
2011-01-12 00:00:00,,,0.34,31359.77
2011-01-13 00:00:00,,,0.36,20118.9
2011-01-14 00:00:00,,,0.39,27130.96
2011-01-15 00:00:00,,,0.39,1515.66
2011-01-16 00:00:00,,,0.39,2778.71
2011-01-17 00:00:00,,,0.35,18241.15
2011-01-18 00:00:00,,,0.32,15671.51
2011-01-19 00:00:00,,,0.31,7291.63
2011-01-20 00:00:00,,,0.35,19881.98
2011-01-21 00:00:00,,,0.4,8477.55
2011-01-22 00:00:00,,,0.43,10534.27
2011-01-23 00:00:00,,,0.44,1148.4
2011-01-24 00:00:00,,,0.41,11061.94
2011-01-25 00:00:00,,,0.42,2163.72
2011-01-26 00:00:00,,,0.41,15564.81
2011-01-27 00:00:00,,,0.44,27708.2
2011-01-28 00:00:00,,,0.43,5324.5
2011-01-29 00:00:00,,,0.44,1448.38
2011-01-30 00:00:00,,,0.46,10383.59
2011-01-31 00:00:00,,,0.51,63516.08
2011-02-01 00:00:00,,,0.74,31562.12
2011-02-02 00:00:00,,,0.73,5627.48
2011-02-03 00:00:00,,,0.71,8524.5
2011-02-04 00:00:00,,,0.8,42222.19
2011-02-05 00:00:00,,,0.86,15786.81
2011-02-06 00:00:00,,,0.87,8744.11
2011-02-07 00:00:00,,,0.86,2264.28
2011-02-08 00:00:00,,,0.9,7021.29
2011-02-09 00:00:00,,,0.96,49632.5
2011-02-10 00:00:00,,,0.96,26559.64
2011-02-11 00:00:00,,,0.99,13299.18
2011-02-12 00:00:00,,,1.06,4118.92
2011-02-13 00:00:00,,,1.05,3240.64
2011-02-14 00:00:00,,,1.06,7096.55
2011-02-15 00:00:00,,,1.05,8616.58
2011-02-16 00:00:00,,,1.04,7192.38
2011-02-17 00:00:00,,,1.04,4009.84
2011-02-18 00:00:00,,,0.89,36948.16
2011-02-19 00:00:00,,,0.91,3798.71
2011-02-20 00:00:00,,,0.85,9974.05
2011-02-21 00:00:00,,,0.84,1700.12
2011-02-22 00:00:00,,,0.88,12095.26
2011-02-23 00:00:00,,,0.9,6718.87
2011-02-24 00:00:00,,,0.95,13418.69
2011-02-25 00:00:00,,,0.96,4461.06
2011-02-26 00:00:00,,,0.94,4744.41
2011-02-27 00:00:00,,,0.93,23268.75
2011-02-28 00:00:00,,,0.88,4651.67
2011-03-01 00:00:00,,,0.95,22569.78
2011-03-02 00:00:00,,,0.92,2741.87
2011-03-03 00:00:00,,,0.92,2746.67
2011-03-04 00:00:00,,,0.91,2711.89
2011-03-05 00:00:00,,,0.88,12570.59
2011-03-06 00:00:00,,,0.85,12626.49
2011-03-07 00:00:00,,,0.89,15271.27
2011-03-08 00:00:00,,,0.87,4527.85
2011-03-09 00:00:00,,,0.85,4546.05
2011-03-10 00:00:00,,,0.89,8869.01
2011-03-11 00:00:00,,,0.89,3725.51
2011-03-12 00:00:00,,,0.9,4822.83
2011-03-13 00:00:00,,,0.9,660.31
2011-03-14 00:00:00,,,0.89,5269.24
2011-03-15 00:00:00,,,0.88,2732.16
2011-03-16 00:00:00,,,0.85,7929.62
2011-03-17 00:00:00,,,0.84,7159.78
2011-03-18 00:00:00,,,0.77,14226.22
2011-03-19 00:00:00,,,0.76,9875.04
2011-03-20 00:00:00,,,0.77,5815.32
2011-03-21 00:00:00,,,0.75,3695.96
2011-03-22 00:00:00,,,0.78,12147.72
2011-03-23 00:00:00,,,0.83,13262.26
2011-03-24 00:00:00,,,0.88,14009.37
2011-03-25 00:00:00,,,0.88,4819.42
2011-03-26 00:00:00,,,0.87,11756.42
2011-03-27 00:00:00,,,0.83,5337.15
2011-03-28 00:00:00,,,0.81,12565.15
2011-03-29 00:00:00,,,0.79,4215.02
2011-03-30 00:00:00,,,0.79,3218.22
2011-03-31 00:00:00,,,0.79,6875.08
2011-04-01 00:00:00,,,0.78,3186.77
2011-04-02 00:00:00,,,0.79,2493.59
2011-04-03 00:00:00,,,0.78,3931.39
2011-04-04 00:00:00,,,0.69,31155.46
2011-04-05 00:00:00,,,0.67,9730.3
2011-04-06 00:00:00,,,0.72,8703.95
2011-04-07 00:00:00,,,0.75,10832.99
2011-04-08 00:00:00,,,0.76,18207.3
2011-04-09 00:00:00,,,0.74,12119.4
2011-04-10 00:00:00,,,0.74,5348.98
2011-04-11 00:00:00,,,0.77,14645.93
2011-04-12 00:00:00,,,0.85,48417.6
2011-04-13 00:00:00,,,0.93,43397.56
