Month,Day,Year,Price,totalCirculation,totalTransactionFees,numberOfUniqueBitcoinAddressesUsed,totalOutputVolumeValue,averageNumberOfTransactionsPerBlock
8,30,2010,0.069,3861450,0.4,335,20544.6,1
8,31,2010,0.06497,3870200,0.2000003,462,50604.25,1
9,1,2010,0.0649,3879000,0.1300001,459,25273.89,1
9,2,2010,0.0629,3886550,0.0000001,340,37692.37,1
9,3,2010,0.0634,3894550,0,363,45194.31,1
9,4,2010,0.0613,3903500,0,313,45032.56,2
9,5,2010,0.0629,3911600,0.01,351,128716.02,2
9,6,2010,0.064,3920050,0.0000001,326,94878.79,1
9,7,2010,0.06185,3927600,0,284,34840.22,1
9,8,2010,0.06201,3935200,0.0000002,332,24540.79,2
9,9,2010,0.0624,3942750,0.11,383,40414.58,2
9,10,2010,0.06201,3951300,0.0000002,410,25097.62,2
9,11,2010,0.062,3959400,0,328,17622.84,2
9,12,2010,0.064999,3968550,0.15,392,26765.48,1
9,13,2010,0.06201,3976750,0,489,114883.92,1
9,14,2010,0.0641,3986500,0.00960362,492,46151.35441,1
9,15,2010,0.175,3995900,0,491,46988.2304,2
9,16,2010,0.0619,4005400,0,385,39173.55,3
9,17,2010,0.0609,4016200,0,382,44589.06,4
9,18,2010,0.0609,4028050,0.18,445,81783,3
9,19,2010,0.062599,4038550,0,379,63683.9096,2
9,20,2010,0.0634,4049100,0,469,71345.62,2
9,21,2010,0.0633,4057950,0.0000001,743,39944.08,2
9,22,2010,0.0628,4066600,0,999,51528.04,2
9,23,2010,0.063,4077200,0,801,123082.78,2
9,24,2010,0.06281,4089500,0,631,48867.6,5
9,25,2010,0.0624,4099600,0,499,32462.93,2
9,26,2010,0.062279,4109450,0,493,30732.86,3
9,27,2010,0.062206,4121350,0.02,753,39222.8,4
9,28,2010,0.06271,4132150,0.41,453,55063.23503,3
9,29,2010,0.06219,4141000,1.03,1000,152303.87,2
9,30,2010,0.06192,4148050,0,427,36006.74,2
10,1,2010,0.061999,4155850,0.56,664,74309.81812,2
10,2,2010,0.061999,4161300,0.00776615,609,46316.14777,2
10,3,2010,0.0614,4167350,0.00776813,501,403512.3778,2
10,4,2010,0.062,4175050,0.00000109,525,539563.53,2
10,5,2010,0.06301,4181200,0,471,189281.43,2
10,6,2010,0.0633,4188800,0.00000109,493,99404.95,2
10,7,2010,0.0638,4197450,0,443,175824,2
10,8,2010,0.088,4205200,0,421,181045.43,2
10,9,2010,0.12001,4212850,0,468,164092.5,1
10,10,2010,0.12,4221450,0,460,135145.64,1
10,11,2010,0.1301,4229700,0.00000109,443,71405.12,1
10,12,2010,0.099,4237700,0,439,108997.45,1
10,13,2010,0.095,4246150,0,446,95713.93,1
10,14,2010,0.105,4255750,0.35,459,157733.04,3
10,15,2010,0.119,4265000,0,407,145488.96,2
10,16,2010,0.109,4276950,0,493,228684.56,2
10,17,2010,0.1045,4291050,0,579,165836.54,3
10,18,2010,0.103,4304100,0.02,623,204295.32,3
10,19,2010,0.1024,4316250,0,1240,269644.67,2
10,20,2010,0.103,4327950,0,914,243234.45,2
10,21,2010,0.109,4339600,0.00776615,745,200194.2378,2
10,22,2010,0.107,4347250,0,645,138906.02,2
10,23,2010,0.10901,4355950,0.05,776,49203.8,2
10,24,2010,0.19,4365400,0,592,88862.99,1
10,25,2010,0.15,4375900,0,601,154213.65,1
10,26,2010,0.19,4388000,0,620,194450,1
10,27,2010,0.19,4398600,0,778,231666.64,1
10,28,2010,0.19001,4409350,0,677,154286.85,1
10,29,2010,0.191,4421100,0,537,136452.55,1
10,30,2010,0.1919,4433100,0,495,93681.81,1
10,31,2010,0.199,4442200,0,345,61979.37,1
11,1,2010,0.1975,4451600,0,416,61627.41,1
11,2,2010,0.1955,4460000,0,321,65171.14,1
11,3,2010,0.275,4470050,0,388,65403.99,1
11,4,2010,0.23601,4479600,0,378,162239.24,1
11,5,2010,0.2399,4490550,0,458,56243.79109,1
11,6,2010,0.29,4500650,0,453,121427.3,1
11,7,2010,0.499999,4513050,0,487,124630.78,1
11,8,2010,0.37,4526100,0.83,544,455084.71,1
11,9,2010,0.3368,4538100,0,509,121502.89,1
11,10,2010,0.2667,4547750,0,416,59232.5,8
11,11,2010,0.24,4559350,0,477,59839.1,66
11,12,2010,0.251,4567900,0,333,43331.06,1
11,13,2010,0.3,4578850,0,358,53430.2,1
11,14,2010,0.299,4590750,0,442,36107,46
11,15,2010,0.2828,4601800,0,1882,173010.71,107
11,16,2010,0.2827,4610850,0.48,5349,478994.38,76
11,17,2010,0.28,4623350,0,540,86941.96,2
11,18,2010,0.289999,4636500,0,486,64061.66,2
11,19,2010,0.283,4644800,0,404,63583.91109,14
11,20,2010,0.289,4650550,0.73,610,171110.34,38
11,21,2010,0.29,4657300,1.17,520,138363.57,7
11,22,2010,0.282,4665300,0.6,499,37773.97,2
11,23,2010,0.2879,4672500,0.54,408,44876.14,2
11,24,2010,0.28299,4681750,0.31,610,52383.97,2
11,25,2010,0.28299,4689350,0,641,56769.8,2
11,26,2010,0.289,4699500,0.37,889,104730.61,2
11,27,2010,0.284399,4708650,0.01,630,31891.1,2
11,28,2010,0.28461,4716950,0.01,553,33924.38,2
11,29,2010,0.279,4727550,0.03,514,33563.41,1
11,30,2010,0.275,4738050,0.01,565,51951.56,1
12,1,2010,0.225,4746900,0.02,700,84893.23,1
12,2,2010,0.25,4756550,0.07,586,80412.8,2
12,3,2010,0.2553,4766150,0.02,510,40131.16,2
12,4,2010,0.2589,4777100,0.01,515,62846.94793,2
12,5,2010,0.235,4789000,0.02090727,546,46592.15405,2
12,6,2010,0.225,4801000,0.05518713,540,109183.7461,2
12,7,2010,0.226,4812650,0.03214637,709,69114.75344,3
12,8,2010,0.2477,4824200,0.08,686,64972.24655,4
12,9,2010,0.2388,4836700,0.04727152,639,52106.58691,4
12,10,2010,0.204,4844200,0.06000109,514,40043.89,3
12,11,2010,0.2275,4852800,0.07724798,773,83411.69703,2
12,12,2010,0.228,4861500,0.16893365,832,51986.97893,2
12,13,2010,0.22748,4869100,0.34111695,1116,145857.1287,2
12,14,2010,0.23,4877250,0.03395871,978,159576.2925,2
12,15,2010,0.2468,4886200,0.0723952,841,121157.0697,5
12,16,2010,0.2459,4895500,0.10473581,700,94420.28754,3
12,17,2010,0.255,4904150,0.05382187,654,74686.69058,4
12,18,2010,0.249,4912050,0.21944472,603,86309.052,3
12,19,2010,0.2499,4921250,0.11218083,775,112871.8011,3
12,20,2010,0.275,4929200,0.07883365,1100,69753.33884,3
12,21,2010,0.26909,4939050,0.12815952,828,94510.82485,4
12,22,2010,0.267,4946950,0.17743052,875,122101.3124,3
12,23,2010,0.25,4954100,0.06,860,75604.72,3
12,24,2010,0.25,4961600,0.08829328,788,73279.39774,3
12,25,2010,0.25,4969700,0.04743052,793,106564.9772,3
12,26,2010,0.269999,4977050,0.07,946,93879.60339,3
12,27,2010,0.265,4985100,0.10834879,678,72783.89344,3
12,28,2010,0.28,4993550,0.09056339,772,81651.99113,3
12,29,2010,0.301,5002150,0.12251652,848,127133.5325,5
12,30,2010,0.299999,5010150,0.13238552,730,66672.77922,8
12,31,2010,0.299999,5018350,0.02335061,768,66441.89335,7
1,1,2011,0.299998,5027250,0.06915258,775,73186.62915,5
1,2,2011,0.299996,5036250,0.09129091,779,47462.47129,6
1,3,2011,0.299998,5044450,0.69638641,956,64231.71771,7
1,4,2011,0.299899,5051550,0.07954493,943,70985.12955,7
1,5,2011,0.298998,5059050,0.05838636,1064,55566.7204,8
1,6,2011,0.299,5066400,0.08757579,950,42145.09676,7
1,7,2011,0.322,5073600,0.07352512,887,54915.81689,7
1,8,2011,0.322898,5083200,0.02,1267,72498.49,6
1,9,2011,0.322998,5090800,0.13765433,1110,46365.63235,7
1,10,2011,0.329,5099150,0.07884469,1209,75912.06856,5
1,11,2011,0.329,5107250,0.03,1185,85878.09849,5
1,12,2011,0.35,5115600,0.24212907,1084,105022.8082,4
1,13,2011,0.405,5124850,0.08,1150,74079.13534,5
1,14,2011,0.45,5133550,0.05493887,1134,117634.0768,5
1,15,2011,0.4,5142150,0.10987774,1094,99128.74572,5
1,16,2011,0.4,5150800,0.07835008,1250,49341.45847,5
1,17,2011,0.4,5159450,0.15276428,1080,91444.8494,8
1,18,2011,0.38679,5167250,0.03768351,1200,77342.27768,6
1,19,2011,0.3401,5176100,0.06323904,1281,93918.80255,7
1,20,2011,0.3675,5184500,0.12736667,1125,75968.89447,6
1,21,2011,0.44,5193400,0.02048576,1354,60052.79392,5
1,22,2011,0.4299,5201600,0.45874839,1742,79499.30688,5
1,23,2011,0.4443,5210100,0.29048576,1397,82264.66234,6
1,24,2011,0.443,5219100,0.30905919,1682,71524.41976,8
1,25,2011,0.425,5226900,0.14,1282,76827.20777,13
1,26,2011,0.425,5236650,0.12905919,1192,61868.48247,12
1,27,2011,0.4174,5244650,0.49,1184,907174.35,5
1,28,2011,0.45,5252800,0.13,1329,203259.1191,6
1,29,2011,0.446,5260300,0.31195608,1642,64724.60196,5
1,30,2011,0.48,5268500,0.22108788,2494,290621.7287,4
1,31,2011,0.5,5276000,3.39,2162,256095.7798,4
2,1,2011,0.95,5284950,0.68108788,1311,151647.5409,4
2,2,2011,0.840099,5293050,0.28,1283,157297.492,4
2,3,2011,0.75,5300500,0.11818974,975,78511.48801,4
2,4,2011,0.88,5310000,0.08586535,1134,59511.57695,5
2,5,2011,0.9167,5319150,0.2159958,1094,79984.52529,9
2,6,2011,0.92,5327900,0.13,1060,66778.55139,12
2,7,2011,0.90585,5338200,0.19347709,1094,175102.3847,10
2,8,2011,0.9,5346800,0.32049075,1053,73028.91772,9
2,9,2011,0.935,5355950,0.04541728,1387,84880.26913,10
2,10,2011,1.1,5365400,0.80304408,2797,238910.2826,10
2,11,2011,1.0065,5374950,0.50910687,3757,266155.7167,8
2,12,2011,1.0899,5384450,0.63186934,2918,160649.7334,9
2,13,2011,1.08,5394650,0.32,2608,120512.5925,9
2,14,2011,1.08,5403950,2.13,2838,112566.04,10
2,15,2011,1.085,5414550,0.84,3046,134265.1019,9
2,16,2011,1.05019,5426100,0.22346193,2466,79208.8758,10
2,17,2011,1.05019,5438100,0.62346193,3096,98007.54292,10
2,18,2011,1.05019,5448900,0.46,3034,114822.03,9
2,19,2011,1.02,5457700,0.51,2542,185159.2337,9
2,20,2011,0.954896,5467100,0.18,2492,211556.62,9
2,21,2011,0.8796,5476400,0.5,2857,234954.48,7
2,22,2011,0.869499,5487000,0.19,3143,215033.45,8
2,23,2011,0.95,5499150,0.40332199,3480,524405.1333,11
2,24,2011,0.9499,5509850,0.15769472,2847,219771.5677,12
2,25,2011,1,5520950,0.26097152,3067,204983.1092,17
2,26,2011,0.988567,5533500,0.71049575,2901,187552.7905,16
2,27,2011,0.96,5547050,0.74,3198,203856.7486,10
2,28,2011,0.949231,5555400,0.53785377,2706,124226.5379,7
3,1,2011,0.97,5561900,0.73455377,2494,996104.8245,7
3,2,2011,0.9498,5570350,0.2465,4755,1775312.644,9
3,3,2011,0.94,5579500,6.3913,4099,951257.8129,13
3,4,2011,0.9392,5589450,1.3986,2996,255314.9894,11
3,5,2011,0.918901,5602700,1.21430001,2839,198745.6428,12
3,6,2011,0.910445,5616200,5.13130001,2750,199347.4646,15
3,7,2011,0.909,5627950,5.69913744,2990,236085.492,20
3,8,2011,0.9072,5637600,4.60833744,3547,163024.8859,20
3,9,2011,0.883751,5645500,3.51649299,2833,243670.8865,25
3,10,2011,0.87,5651450,2.47963744,2388,267187.8725,25
3,11,2011,0.9329,5658200,6.63689296,2834,370094.6952,22
3,12,2011,0.9197,5665050,1.48693618,2600,150036.5403,24
3,13,2011,0.9196,5671000,1.51553619,2494,211035.1511,19
3,14,2011,0.9,5676850,2.1816162,2388,212568.1084,28
3,15,2011,0.899885,5681700,1.70019999,2660,128279.0082,21
3,16,2011,0.89,5689000,1.81,2581,152458.1539,47
3,17,2011,0.88,5695550,1.49799295,2663,174677.6648,18
3,18,2011,0.850617,5702450,1.22279998,2802,174095.3081,29
3,19,2011,0.824,5707900,1.35779295,2697,140795.1853,14
3,20,2011,0.79,5714150,1.3370787,2378,122537.4135,12
3,21,2011,0.7883,5721900,6.87779295,5496,164254.4508,21
3,22,2011,0.799646,5728200,11.2703,3504,207804.8718,14
3,23,2011,0.85,5735600,16.58666612,5598,222690.2667,20
3,24,2011,0.9,5743200,9.62159233,3802,260657.8151,18
3,25,2011,0.89,5751300,6.33823619,3624,233298.8611,10
3,26,2011,0.905,5758350,4.7801,3808,408306.6653,10
3,27,2011,0.8958,5766000,5.8772327,3565,171128.3661,8
3,28,2011,0.8575,5774150,4.863,5102,157029.0518,9
3,29,2011,0.8,5781850,3.7901,4182,126173.7931,9
3,30,2011,0.795,5789650,3.93090001,2870,116933.2883,12
3,31,2011,0.80098,5799750,4.16,3692,158393.7924,11
4,1,2011,0.79997,5808500,3.1,2785,90372.37297,12
4,2,2011,0.79697,5817950,2.99040002,2915,87625.22594,11
4,3,2011,0.7998,5826300,3.15010002,2708,107196.0013,10
4,4,2011,0.79,5835300,5.896868,3887,127820.0875,11
4,5,2011,0.71,5845400,5.4307,3741,151570.1365,9
4,6,2011,0.747844,5852350,5.60040001,3149,94074.9679,12
4,7,2011,0.7677,5860450,3.1702,3057,122171.9512,12
4,8,2011,0.799,5868250,3.8001,2897,131707.3847,12
4,9,2011,0.7676,5876200,4.18,3078,145607.4084,18
4,10,2011,0.758899,5884600,5.14,2843,103251.128,14
4,11,2011,0.781,5892300,4.72078885,3040,85909.93001,11
4,12,2011,0.897,5900650,4.46474318,3398,137646.1322,13
4,13,2011,1,5910700,3.67138575,3759,191554.5099,17
4,14,2011,0.94,5918850,15.5231,5390,126115.7119,25
4,15,2011,1.08999,5925600,2.15104348,3050,141473.8377,22
4,16,2011,1.095,5933950,3.80988576,3115,287525.9764,11
4,17,2011,1.085,5942850,1.9425,3531,1376826.729,13
4,18,2011,1.1999,5950650,2.23520399,3997,132199.6754,12
4,19,2011,1.19,5957700,5.88128213,5118,2177926.085,15
4,20,2011,1.1979,5964900,7.35490728,4676,5272339.948,13
4,21,2011,1.1979,5973150,3.63999931,3310,136189.2748,14
4,22,2011,1.332,5981800,4.3937338,3723,465318.8355,23
4,23,2011,1.549,5990300,5.3103,3399,136771.929,22
4,24,2011,1.95,5998200,7.36302226,4082,164011.8699,17
4,25,2011,1.701,6007600,7.87326592,4110,103284.5935,21
4,26,2011,1.73,6017250,5.52887739,4431,146695.9076,23
4,27,2011,1.95,6026750,8.94869711,6329,206468.0069,14
4,28,2011,2.65,6034700,6.39308182,5619,232588.9374,15
4,29,2011,2.7,6044800,7.01488483,5505,771476.0749,15
4,30,2011,4.14996,6054050,9.56621478,6324,400623.6525,14
5,1,2011,4.09,6063850,11.51184732,7135,203700.3476,16
5,2,2011,3.495,6072750,6.64908916,4268,131622.775,17
5,3,2011,3.49,6083100,4.72487624,5240,180504.0648,13
5,4,2011,3.58,6092400,5.73991629,5204,305517.5847,14
5,5,2011,3.5,6103800,7.74210231,5773,159916.0922,15
5,6,2011,3.5998,6113750,9.48622833,5690,224152.4762,17
5,7,2011,3.7,6124700,6.804853,6110,299762.8943,16
5,8,2011,3.9,6135000,5.95522686,4744,338722.1112,21
5,9,2011,3.937,6147450,11.69832794,6323,380676.6328,17
5,10,2011,5.2,6157450,7.41932207,5425,566091.4497,17
5,11,2011,6.065,6166800,9.66501217,5921,185354.4992,18
5,12,2011,5.94998,6175000,5.60952486,4914,212128.2623,16
5,13,2011,8.45,6185050,11.3227713,7624,467029.4386,17
5,14,2011,8.9,6197450,13.88461025,7463,1691796.399,28
5,15,2011,8.55,6208850,14.44747033,7124,442071.4298,21
5,16,2011,8.5,6220050,15.61282785,9243,207534.7543,22
5,17,2011,8.38901,6233050,13.29486724,9093,297603.6826,21
5,18,2011,7.874,6247200,16.69735463,9918,187535.9074,20
5,19,2011,7.34,6256250,18.61140679,11265,166850.2113,18
5,20,2011,7.1,6267450,16.95989301,9419,319316.9883,21
5,21,2011,6.6036,6278100,19.00720349,9193,694878.5464,21
5,22,2011,6.61,6290800,21.16861654,9823,902283.6392,27
5,23,2011,7.45,6304650,19.12275662,10157,462051.8358,32
5,24,2011,7.2,6319400,19.09579145,10691,332288.1552,27
5,25,2011,7.51,6334000,21.39997947,12928,407506.8258,31
5,26,2011,9.33,6349900,20.2567875,12180,434392.7825,41
5,27,2011,8.92,6359800,16.43284651,9863,596236.9876,34
5,28,2011,8.735,6367550,13.1819608,9834,235608.5891,37
5,29,2011,8.4992,6376200,14.43394585,9270,262939.8117,41
5,30,2011,9,6383850,15.95794968,10010,262665.656,40
5,31,2011,9.4998,6391350,20.95768475,12252,295010.675,39
6,1,2011,9.391,6400250,21.6219555,11219,259862.3112,39
6,2,2011,10.57,6409750,25.08212749,12768,330587.2806,51
6,3,2011,14.3,6419900,26.6377786,14800,600652.1836,62
6,4,2011,17.41,6430700,31.68367067,16750,514581.6812,57
6,5,2011,18.998,6441100,23.52063186,14944,486337.0509,49
6,6,2011,19.23,6453600,26.458909,17688,834087.583,48
6,7,2011,19.06,6462050,28.53132133,15812,570308.8952,49
6,8,2011,31.9099,6471200,39.21740563,20730,682341.0445,49
6,9,2011,31.5,6481800,48.4001229,22272,791144.4658,56
6,10,2011,35,6493100,37.85372624,21061,865325.4428,50
6,11,2011,30,6504700,36.72083742,20896,1390639.189,58
6,12,2011,24.99,6516600,41.15152999,21909,1875945.146,64
6,13,2011,24.5,6528850,40.65158133,22918,1307769.209,59
6,14,2011,20.99,6540100,33.47003135,23877,1555268.183,52
6,15,2011,20,6554200,42.43918865,26175,2041254.366,48
6,16,2011,19.96,6564250,31.72265722,22537,9235676.426,39
6,17,2011,19.3898,6573250,30.76697918,22736,2938717.202,43
6,18,2011,17.2,6583350,30.27588907,23543,1375764.237,44
6,19,2011,18.8766,6594300,26.78637934,23804,1301575.104,46
6,20,2011,17.35,6605900,21.06156276,23113,5015069.734,63
6,21,2011,15.5,6617450,18.24724796,19981,1307009.068,66
6,22,2011,15.05,6630950,17.88992398,24881,3232503.743,71
6,23,2011,16,6642850,16.04724236,22014,1682473.312,71
6,24,2011,16.7501,6654850,15.10772997,22763,4528661.415,57
6,25,2011,17.6,6662400,21.99481921,19107,6997337.31,54
6,26,2011,17.51001,6670150,22.58593178,20531,6549819.135,52
6,27,2011,18,6678150,28.5009098,24689,2876425.88,54
6,28,2011,17.52,6685800,21.04399723,22877,4785676.894,49
6,29,2011,17.3,6694650,20.27653059,21640,5122234.927,57
6,30,2011,17.5,6703700,18.31708499,20088,1678315.564,56
7,1,2011,17,6712700,16.95778436,25731,1261003.584,70
7,2,2011,16.49,6721450,17.63908177,31999,927541.1445,69
7,3,2011,15.7,6729450,12.95560401,19140,475146.2804,55
7,4,2011,15.85,6737650,15.26228889,20364,1503044.186,53
7,5,2011,15,6745200,17.1050446,17861,339654.7158,55
7,6,2011,16.5,6753000,18.73264167,23786,641728.8139,66
7,7,2011,16.25,6759800,14.78154774,20579,471109.2657,61
7,8,2011,15.64276,6767150,13.00884717,19803,351140.0581,52
7,9,2011,15,6775050,13.50615094,20921,1209556.871,54
7,10,2011,15.68,6782250,12.79683879,25941,3308051.513,53
7,11,2011,15.1999,6789700,13.77107564,20304,1007736.374,49
7,12,2011,14.63988,6796900,12.17776867,20971,693214.9793,53
7,13,2011,14.15,6806050,15.64254982,24854,1210875.08,53
7,14,2011,14.1,6813750,14.32494418,25498,1118040.127,60
7,15,2011,14.3,6821800,13.93294757,21025,2069623.204,59
7,16,2011,14.1,6829750,13.44019776,21029,462605.0695,55
7,17,2011,13.96,6838200,12.45441972,22354,1043977.128,59
7,18,2011,13.6901,6845850,10.45340351,19515,1191448.452,55
7,19,2011,14.7,6854050,17.08671088,23514,3298360.477,44
7,20,2011,14.04,6861200,11.50496853,21109,2284316.438,60
7,21,2011,13.9389,6868950,9.3605919,22713,1472833.918,49
7,22,2011,13.9389,6876100,11.77873472,21044,717267.6593,46
7,23,2011,13.92,6883350,9.81383186,19698,1131999.892,46
7,24,2011,13.979999,6892150,7.9042719,20708,640016.2198,46
7,25,2011,14.7399,6900000,13.19779016,22766,1478082.668,45
7,26,2011,14.4,6908450,8.61433947,21078,1233720.075,44
7,27,2011,14.13,6917450,9.17862736,20882,1008445.949,45
7,28,2011,14,6925800,7.45699769,22225,2869315.945,59
7,29,2011,13.8,6933850,6.6564493,20440,1609180.881,50
7,30,2011,13.8,6941450,6.60580997,18672,374677.1434,62
7,31,2011,14.8999,6949850,6.12797681,20480,585272.8997,52
8,1,2011,13.5501,6958600,7.45372377,21414,398551.8854,57
8,2,2011,13.45,6965950,7.8853759,19473,541433.9509,52
8,3,2011,13.1,6973900,7.49064465,15703,423218.6332,55
8,4,2011,11.4876543,6980550,8.65111491,15681,346382.1282,64
8,5,2011,11.55,6987450,6.39034612,18013,443829.868,50
8,6,2011,11,6993650,7.4397722,18171,393965.5977,60
8,7,2011,9.8,7000100,22.92516799,17200,383287.1724,51
8,8,2011,8.89,7006550,8.01767941,18130,775351.5911,57
8,9,2011,12.1,7013200,11.0804063,20864,2787550.074,61
8,10,2011,10.7,7021500,9.43100171,16769,952897.3183,58
8,11,2011,10.4959,7028250,8.96972833,16032,686891.8849,68
8,12,2011,9.89520343,7035100,6.31242296,14031,350528.3094,63
8,13,2011,10.05,7041500,6.7979716,15861,326912.9335,47
8,14,2011,11.24,7047650,9.77820713,19243,431809.4176,57
8,15,2011,11.89,7054800,9.26323877,16500,348419.1962,49
8,16,2011,11.38,7061550,9.5779113,16666,337473.2592,50
8,17,2011,11.3,7068000,7.99886482,16997,339782.9772,45
8,18,2011,11.67,7075900,6.1145595,18383,429956.3696,43
8,19,2011,11.81,7082650,7.41319369,20161,564623.0561,55
8,20,2011,11.798,7089900,6.10397746,19019,245694.3859,55
8,21,2011,11.59,7097150,5.57001909,18708,237932.12,48
8,22,2011,11.501,7105950,7.23054005,21602,294077.7455,53
8,23,2011,11.49,7114450,5.45671341,21892,435943.3225,47
8,24,2011,11.4,7121000,9.52533281,17886,552500.4108,62
8,25,2011,10.96554,7127400,6.85117903,18626,394895.9493,50
8,26,2011,10.3,7135100,5.08571809,19914,278481.5307,48
8,27,2011,9.11,7141650,5.07591598,16681,2731977.811,56
8,28,2011,9.48,7147350,4.24898819,16239,196781.4599,42
8,29,2011,9.4811,7153600,5.35302216,17103,235746.9132,44
8,30,2011,9.15031,7161350,5.3418445,14933,243490.7645,52
8,31,2011,9,7168900,10.10021477,14550,267606.5559,47
9,1,2011,8.44934,7175250,5.69525979,13820,346068.2175,51
9,2,2011,8.4989,7183350,5.26021947,13891,243024.952,48
9,3,2011,8.7138,7190450,6.07488965,12731,241946.1174,51
9,4,2011,8.593999999,7196750,9.10167977,14161,1672147.942,51
9,5,2011,8.467,7204450,7.16748946,15971,1727494.293,45
9,6,2011,7.65713,7211950,6.40762714,15194,3276984.707,45
9,7,2011,7.59916,7219300,8.10420009,14446,1079147.894,49
9,8,2011,7.31509,7225550,4.9515221,13362,384196.0149,48
9,9,2011,6.94,7232550,7.39910874,13930,414417.2717,42
9,10,2011,6.20892,7239700,5.89377078,13186,313641.3628,40
9,11,2011,7.4,7246600,4.71826473,12955,1007931.349,47
9,12,2011,7.081,7253100,5.38775655,12932,633133.7237,50
9,13,2011,6.25,7259900,4.74685664,13053,341538.8695,34
9,14,2011,5.990000001,7267500,3.85622561,13152,337226.5027,51
9,15,2011,5.69,7274900,3.88694001,11956,248417.394,53
9,16,2011,5.23,7281200,7.98324496,12058,535163.4919,54
9,17,2011,5.022,7287350,5.4756153,12148,527059.1744,45
9,18,2011,5,7295700,4.96046949,11736,300685.9418,43
9,19,2011,5.6,7301800,6.00913231,12541,341653.5303,50
9,20,2011,6.795,7308750,6.01759103,18459,339001.2072,39
9,21,2011,6.28664,7316150,5.34280467,13872,414519.7517,43
9,22,2011,5.83001,7323650,4.47693446,14757,314771.6547,44
9,23,2011,5.70653,7330350,3.83846876,17019,241895.8348,43
9,24,2011,5.66,7336550,7.17138576,17662,337969.8798,42
9,25,2011,5.5,7343650,3.23532626,17523,238157.2466,46
9,26,2011,5.46014,7350500,3.33132041,17160,346174.178,41
9,27,2011,5.13018,7357300,4.17476213,16854,370803.6468,39
9,28,2011,4.989,7363950,4.57610176,11610,390599.5677,48
9,29,2011,4.809,7370650,3.56288467,10806,348551.5312,40
9,30,2011,5.35,7376800,3.38489362,11409,282245.8727,45
10,1,2011,5.3,7383600,3.5672863,10969,310744.4916,45
10,2,2011,5.16,7390150,3.26002348,10163,434779.8815,43
10,3,2011,5.07546,7396650,9.34666058,11545,389637.531,43
10,4,2011,5.03,7403150,3.40150005,10079,371051.0924,45
10,5,2011,5.025,7410000,3.52404524,12453,453881.7605,46
10,6,2011,4.93,7416650,6.66264112,11909,429374.4669,55
10,7,2011,4.85,7423050,5.68168641,11289,466382.1607,54
10,8,2011,4.594,7429500,3.92876955,10939,324504.7311,52
10,9,2011,4.389,7435650,3.07908946,10976,312208.7113,42
10,10,2011,4.25937,7441550,3.17994555,10553,296865.6798,43
10,11,2011,4.14001,7446850,4.8110874,11523,333200.9451,39
10,12,2011,4.20612,7452800,4.52713498,12312,339241.2286,49
10,13,2011,4.45,7457350,4.68456623,9294,306799.8725,43
10,14,2011,4.11455,7464000,3.47204625,10647,270082.8971,36
10,15,2011,4.05,7471050,3.47903207,11551,402600.0018,45
10,16,2011,3.9009,7477200,2.8099505,9706,233069.9002,38
10,17,2011,3.75996,7482850,4.46768129,11136,451457.1893,51
10,18,2011,2.9,7489200,3.1571327,10981,406424.7152,51
10,19,2011,2.64999,7495800,3.42772158,9684,274846.1126,48
10,20,2011,2.42,7500950,5.74099126,8801,321171.8506,40
10,21,2011,2.72002,7507850,2.79374852,10518,446049.8318,48
10,22,2011,3.3,7512550,2.66416828,9425,615136.9349,41
10,23,2011,3.36,7517800,3.00894325,10417,557222.7315,50
10,24,2011,3.2,7523950,3.24402503,11390,417449.3014,48
10,25,2011,3.04,7530450,3.01637396,10830,354032.3213,50
10,26,2011,2.876,7535900,3.39589176,10204,354289.4338,36
10,27,2011,3.0499,7541650,2.51974203,9527,616114.9093,40
10,28,2011,3.255,7546750,3.15074039,9752,464194.2783,38
10,29,2011,3.82717,7552700,3.40234917,11058,467306.3952,45
10,30,2011,3.65026,7557550,3.40992865,9259,217988.1543,46
10,31,2011,3.388,7564400,2.56528203,9725,226517.5637,43
11,1,2011,3.35,7571700,5.1065652,10403,671779.7136,33
11,2,2011,3.44,7579250,3.23511613,10673,403170.8473,40
11,3,2011,3.299,7585600,2.88038385,10207,357650.878,42
11,4,2011,3.21874,7592750,3.33893916,11518,346464.8745,39
11,5,2011,3.21,7600250,3.42899532,12548,368120.7916,43
11,6,2011,3.05,7607650,2.68651732,9641,242378.3126,44
11,7,2011,3.0289,7614200,3.44751402,10269,234510.825,39
11,8,2011,3.21,7620950,3.72947765,10896,864461.9364,34
11,9,2011,3.114,7629400,3.78935692,12174,1193440.333,41
11,10,2011,3,7636650,3.43121601,11557,389487.3803,37
11,11,2011,3,7642750,2.04213243,10074,333985.9527,44
11,12,2011,3.11,7649500,2.58769763,10156,259102.7559,38
11,13,2011,3.099,7656850,2.52287731,9589,275344.1999,36
11,14,2011,3.03,7663650,2.76633599,10726,312461.389,38
11,15,2011,2.69,7672300,3.20336403,11798,385370.903,37
11,16,2011,2.6,7678950,3.57793717,10639,1877613.011,37
11,17,2011,2.60031,7686200,2.95917489,10600,2858886.197,39
11,18,2011,2.38998,7692750,3.34454677,9438,5136996.581,42
11,19,2011,2.3,7699200,3.05504471,8745,4105280.905,44
11,20,2011,2.499,7705600,4.0309302,8068,1958849.413,41
